Ligne (nom court),Libellé long,Point d'arrêt de départ (nom)
C2,Saint-Grégoire (Champ Daguet) -> Rennes (Haut Sancé),Champ Daguet
C3,Rennes (Saint-Laurent) -> Rennes (Henri Fréville),Saint-Laurent
C6,Cesson-Sévigné (Rigourdière) -> Rennes -> Saint-Jacques-de-la-Lande (Morinais),Rigourdière
C6,Saint-Jacques-de-la-Lande (Morinais) -> Rennes -> Cesson-Sévigné (Rigourdière),Morinais
11,Rennes (Jardin Moderne) -> Rennes (République),Jardin Moderne
11,Vezin-le-Coquet (ZI Ouest) -> Rennes (La Poterie),ZI Ouest
12,Saint-Grégoire (Grand Quartier) -> Rennes (La Poterie),Grand Quartier
13,Rennes (Bréquigny Piscine) -> Rennes (Cleunay),Bréquigny Piscine
35,Cesson-Sévigné (Champs Blancs) -> Cesson-Sévigné (Cesson Gare),Champs Blancs
36,Rennes (Place Hoche) -> Saint-Grégoire (Edonia),Place Hoche
37,Rennes (Henri Fréville) -> Saint-Jacques-de-la-Lande (Morinais),Henri Fréville
50,Rennes (Moulin de Joué) -> Thorigné-Fouillard (Landelles),Moulin de Joué
52,La Chapelle-des-Fougeretz (Besneraie) -> Rennes (Villejean-Université),Besneraie
52,Rennes (République) -> Montgermont -> La Chapelle-des-Fougeretz -> Gévezé (Cheval Blanc),République
52,Saint-Gilles (Ile des Bois) -> Pacé -> Rennes -> Montgermont -> La Chapelle-des-Fougeretz (Besneraie),Ile des Bois
53,Rennes (Colin) -> Rennes (République),Colin
53,La Chapelle-Thouarault (Ville aux Archers) ->  L'Hermitage -> Vezin-le-Coquet -> Rennes (République),Ville aux Archers
55,Mordelles (Mordelles Pâtis) -> Rennes (Charles de Gaulle),Mordelles Pâtis
57,Rennes (République) -> Saint-Jacques-de-la-Lande -> Bruz (Bruz Centre) via Porte de Ker-Lann,République
61,Rennes (Henri Fréville) -> Noyal-Châtillon-sur-Seiche -> Saint-Erblon -> Orgères -> Bourgbarré (Centre de Loisirs),Henri Fréville
61,Bourgbarré (Centre de Loisirs) -> Orgères -> Saint-Erblon -> Noyal-Châtillon-sur-Seiche -> Rennes (Henri Fréville),Centre de Loisirs
67,Rennes (République) -> Brécé (Anjou) via Cesson Gare,République
67,Rennes (République) -> Brécé (Anjou) via Champelé,République
71,Chevaigné (Pommiers) -> Rennes (Place Hoche),Pommiers
73,Corps-Nuds (Corps-Nuds Gare) -> Saint-Armel -> Vern-sur-Seiche -> Rennes (La Poterie) via Champ Martin,Corps-Nuds Gare
78,Rennes (Villejean-Université) -> Saint-Grégoire -> Betton (Betton Centre),Villejean-Université
80,Rennes (Henri Fréville) -> Laillé (Gingouillère),Henri Fréville
80,Laillé (Gingouillère) -> Rennes (Henri Fréville),Gingouillère
62,Vern-sur-Seiche (Croix Malinge) -> Rennes (La Poterie),Croix Malinge
62,Corps-Nuds (Corps-Nuds Gare) -> Saint-Armel -> Vern-sur-Seiche -> Rennes (La Poterie),Corps-Nuds Gare
65,Parthenay-de-Bretagne (Parthenay Fontaine) -> Pacé (Pacé Cimetière),Parthenay Fontaine
65,Parthenay-de-Bretagne (Parthenay Fontaine) -> Pacé -> Rennes (Villejean-Université),Parthenay Fontaine
72,Rennes (Henri Fréville) -> Chartres-de-Bretagne -> Pont-Péan -> Laillé (Gingouillère),Henri Fréville
73,Corps-Nuds (Corps-Nuds Gare) -> Saint-Armel -> Vern-sur-Seiche -> Rennes (La Poterie),Corps-Nuds Gare
72,Pont-Péan (Bois Esnault) -> Rennes (Henri Fréville),Bois Esnault
67,Cesson-Sévigné (Rigourdière) -> Rennes (République),Rigourdière
222,Betton (Champ Devant) -> Chevaigné (Pommiers),Champ Devant
223,Saint-Grégoire (Jean-Paul II) -> Betton -> Chevaigné (Pommiers) via Haye Renaud Gare,Jean-Paul II
224,La Chapelle-des-Fougeretz (Besneraie) -> Saint-Grégoire (Jean-Paul II),Besneraie
225,Saint-Grégoire (Jean-Paul II) -> Pacé (Pie Neuve),Jean-Paul II
226,Montgermont (Montgermont Mairie) -> Pacé (Centre scolaire Pacé),Montgermont Mairie
226,La Chapelle-des-Fougeretz (Besneraie) -> Pacé (Centre scolaire Pacé),
227,Pacé (Centre scolaire Pacé) -> Vezin-le-Coquet (Lion d'Or),Centre scolaire Pacé
228,Rennes (Lycée Mendès France) -> Montgermont -> La Chapelle-des-Fougeretz (Besneraie),Lycée Mendes France
235,Orgères (L'Hermitière Village) -> Pont-Péan (Mouton Blanc),L'Hermitière Village
236,Pacé (Centre scolaire Pacé) -> Parthenay-de-Bretagne (Parthenay Fontaine),Centre scolaire Pacé
236,Pacé (Centre scolaire Pacé) -> Parthenay-de-Bretagne -> Clayes (Clayes Centre),Centre scolaire Pacé
236,Clayes (Clairville) -> Parthenay-de-Bretagne -> Pacé (Centre scolaire Pacé),Clairville
237,Chavagne (Croix Blanche) -> Le Rheu (Lycée Monod),Croix Blanche
238,Le Rheu (Lycée Monod) -> La Chapelle-Thouarault (Ville aux Archers),Lycée Monod
239,Le Rheu (Lycée Monod) -> Mordelles (Mordelles Pâtis),Lycée Monod
241,Mordelles (Collège St-Yves) -> Chavagne (Croix Blanche),Collège St-Yves
Ts4,Bruz (Anita Conti) -> Bourgbarré (La Fretais),Anita Conti
Ts5,Bourgbarré (Sept Fours) -> Bruz (Aire du 8 Mai),Sept Fours
Ts8,Mordelles (Mordelles Pâtis) -> Bruz (Brossolette),Mordelles Pâtis
Ts9,Bruz (Anita Conti) -> Laillé (Gripay),Anita Conti
Ts10,Laillé (Le Cleux) -> Bruz (Anita Conti),Le Cleux
Ts13,Bruz (Aire du 8 Mai) -> Chartres-de-Bretagne (Vieux Bourg),Aire du 8 Mai
Ts37,La Chapelle-Thouarault (Eglise) -> Mordelles (Collège St-Yves),Eglise
Ts46,Pacé (Centre scolaire Pacé) -> Pacé (Bas Sommier),Centre scolaire Pacé
Ts56,Orgères (Collège Récipon) -> Laillé (Gripay),Collège Récipon
Ts56,Laillé (Couais) -> Orgères (Collège Récipon),Couais
Ts82,Chartres-de-Bretagne (Collège Pôle Sud) -> Saint-Erblon (Leuzières),Collège Pôle Sud
Ts91,Rennes (Kennedy Guyenne) -> Vezin-le-Coquet (Vallée),Kennedy Guyenne
Ts91,Vezin-le-Coquet (Vallée) -> Rennes (Collège Rosa-Parks),Vallée
91,Bruz (Cicé Blossac) -> Bruz (Bruz Centre),Cicé Blossac
91,Bruz (Bruz Centre) -> Noyal-Châtillon-sur-Seiche (Petite Saudrais),Bruz Centre
N1,Rennes (Clos Courtel) -> Rennes (République),Clos Courtel
151ex,Betton (Champ Devant) -> Rennes (Place Hoche),Champ Devant
151ex,Rennes (Place Hoche) -> Betton (Champ Devant),Hoche
152ex,Rennes (Lycée Basch) -> Pacé -> Saint-Gilles (Ile des Bois),Lycée Basch
153ex,L'Hermitage (L'Hermitage Centre) -> Rennes (République),L'Hermitage Centre
154ex,Rennes (République) -> Le Rheu -> Cintré (Chêne Vert),République
155ex,Rennes (République) -> Mordelles (Mordelles Pâtis),République
157ex,Rennes (République) -> Bruz (Bruz Centre),République
168ex,Rennes (Villejean-Université) -> Gévezé (Cheval Blanc),Villejean-Université
200,Acigné (Timonière) -> Rennes (Assomption),Timonière
201,Thorigné-Fouillard (Landelles) -> Rennes (Assomption),Landelles
204,Saint-Grégoire (Champ Daguet) -> Rennes (Clotilde Vautier),Champ Daguet
205,Rennes (Villejean-Université) -> Rennes (Lycée St-Exupéry),Villejean-Université
206,Rennes (Joliot-Curie) -> Cesson-Sévigné (Cormier),Joliot-Curie
208,Saint-Grégoire (MFR Rabinardières) -> Rennes (Gares),MFR Rabinardières
212,Saint-Erblon (Champ Mulon) -> Rennes (Coubertin),Champ Mulon
213,Rennes (Coubertin) -> Bourgbarré (Centre de Loisirs),Coubertin
214,Cesson-Sévigné (Lycée Ozanam) -> Rennes (La Poterie),Saint-Etienne
214,Rennes (La Poterie) -> Cesson-Sévigné (Lycée Ozanam),La Poterie
221,Thorigné-Fouillard (Portail) -> Cesson-Sévigné (Lycée Sévigné),Portail
157ex,Bruz (Bruz Centre) -> Rennes (République),Bruz Centre
161ex,Rennes (Henri Fréville) -> Noyal-Châtillon-sur-Seiche -> Saint-Erblon -> Bourgbarré (Centre de Loisirs),Henri Fréville
168ex,Gévezé (Cheval Blanc) -> Rennes (Villejean-Université),Cheval Blanc
C1,Rennes (République) -> Cesson-Sévigné (Champs Blancs),République
C4,Rennes (Plaine de Baud) -> Rennes (République),Plaine de Baud
C4,Rennes (République) -> Rennes (ZA Saint-Sulpice),République
9,Rennes (Cleunay) -> Rennes (Saint-Laurent),Cleunay
11,Rennes (Saint-Saëns) -> Vezin-le-Coquet (ZI Ouest),Saint-Saëns
11,Rennes (Roazhon Park) -> Rennes (La Poterie),Roazhon Park
13,Chantepie (Cucé) -> Rennes (Cleunay),Cucé
13,Saint-Jacques-de-la-Lande (Gautrais) -> Rennes (Henri Fréville),Gautrais
14,Rennes (Clos Courtel) -> Rennes (Roazhon Park),Clos Courtel
14,Rennes (Roazhon Park) -> Rennes (Clos Courtel),Stade Rennais
31,Cesson-Sévigné (Base de Loisirs) -> Rennes (Villejean-Churchill),Base de Loisirs
51,Betton (Champ Devant) -> Rennes (Place Hoche) via Gentilhommière,Champ Devant
51,Rennes (Place Hoche) -> Betton (Champ Devant) via Gentilhommière,Hoche
53,Rennes (République) -> Vezin-le-Coquet -> L'Hermitage -> La Chapelle-Thouarault (Ville aux Archers) via CAT La Hautière,République Pré Botté
