Ligne (ID);Ligne (nom court);Date de début de validité;Résolution;Image
0001;C1;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/34535444b859997123a14e7d0debeb87
0004;C4;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/741aa567660b05d1a1cb880c8c02fc70
0013;13;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/2639c15db0a7eba7e938c542b87c3d58
0036;36;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/8e66c2e8c4194f728079303b854da147
0056;56;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/afafb4de745f3c12054a983a07609854
0062;62;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/ace629d9a01fcd5541b828fc9fe8607c
0068;68;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/da02e27bc0a3ad8ed7d02f5e48271816
0075;75;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/2d6f11e74ffe26a1f956c19c80e4ad33
0081;81;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/23380a8a29eb87d5d112cdfc0839decc
0082;82;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/17b1203cfaf83ed07b06da346ddea1c9
0153;153ex;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/4edca0ece21f1f03679c64db4bd6d898
0157;157ex;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/cd7ebe63fe2ef13d779ac7e3c439ac0c
0172;172ex;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/f25a8a76be5158846e7fdcdde620c582
0173;173ex;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-bus-lignes-pictogrammes-dm/files/64019adc899028752dd82be093a598fd
