Identifiant;Code;Nom;Commune (code INSEE);Commune (nom);Coordonnées;Accessible aux PMR;Mobilier
4007;4007;Boulais;35001;Acigné;48.139094, -1.558744;true;Abri simple
4502;4502;Gévezé Mairie;35120;Gévezé;48.220986, -1.788723;true;Abri double
4530;4530;Lande de Villé;35120;Gévezé;48.23354, -1.787786;false;Poteau
4531;4531;Cheval Blanc;35120;Gévezé;48.221767, -1.802487;false;Poteau
4509;4509;Coualeuc;35120;Gévezé;48.224645, -1.800449;true;Poteau
4304;4304;L'Hermitage Centre;35131;L'Hermitage;48.125578, -1.815962;true;Poteau
4310;4310;L'Hermitage Gare;35131;L'Hermitage;48.12375, -1.817992;true;Poteau
4315;4315;Noë Biche;35131;L'Hermitage;48.122997, -1.802546;true;Abri simple
4758;4758;Gripay;35139;Laillé;47.94704, -1.726359;false;Abri simple
4749;4749;Montheleu;35139;Laillé;47.954628, -1.686146;false;
4750;4750;Rouesnais Sud;35139;Laillé;47.962967, -1.742873;false;
4738;4738;L'Ardrais;35139;Laillé;47.985817, -1.705131;false;Abri simple
4746;4746;Martigné;35139;Laillé;48.001723, -1.724079;false;Abri simple
4737;4737;L'Ardrais;35139;Laillé;47.985864, -1.705312;false;Poteau
4717;4717;Boulais Pochetière;35139;Laillé;47.95562, -1.701021;false;Abri simple
4718;4718;Boulais Pochetière;35139;Laillé;47.955557, -1.701099;false;Abri simple
4721;4721;Château d'Eau;35139;Laillé;47.974425, -1.697982;false;Abri simple
4901;4901;Langan Bourg;35144;Langan;48.24538, -1.854062;true;Abri simple
4902;4902;Langan Bourg;35144;Langan;48.244848, -1.853167;false;Poteau
4903;4903;Langan Bourg;35144;Langan;48.244609, -1.853257;false;Poteau
4904;4904;Rouaudière;35144;Langan;48.23421, -1.843908;false;Poteau
4905;4905;Rouaudière;35144;Langan;48.234302, -1.843947;false;Poteau
3513;3513;Pierre Texier;35189;Montgermont;48.155723, -1.720748;true;Poteau
3516;3516;Décoparc;35189;Montgermont;48.154387, -1.707216;true;Poteau
3506;3506;Décoparc;35189;Montgermont;48.152987, -1.706581;true;Abri simple
3852;3852;Mordelles Eglise;35196;Mordelles;48.071956, -1.849829;true;Abri double
3878;3878;Ville Noublée;35196;Mordelles;48.086226, -1.854402;false;Poteau
3863;3863;Mordelles Lilas;35196;Mordelles;48.075604, -1.842827;true;Abri simple
3857;3857;Grande Fontaine;35196;Mordelles;48.083954, -1.813568;false;Abri simple
3421;3421;La Porte;35204;Nouvoitou;48.03878, -1.546387;false;
3416;3416;Le Petit Beauvais;35204;Nouvoitou;48.011936, -1.5459;false;Poteau
2701;2701;Janais;35206;Noyal-Châtillon-sur-Seiche;48.059075, -1.700988;false;Abri double
2706;2706;Molène;35206;Noyal-Châtillon-sur-Seiche;48.038455, -1.670722;false;Abri simple
2769;2769;Noyal La Touche;35206;Noyal-Châtillon-sur-Seiche;48.04884, -1.641621;false;
2764;2764;Launay Hyon;35206;Noyal-Châtillon-sur-Seiche;48.067247, -1.659266;false;Poteau
2759;2759;Horizon;35206;Noyal-Châtillon-sur-Seiche;48.041679, -1.663416;false;Poteau
2732;2732;Pont;35206;Noyal-Châtillon-sur-Seiche;48.038628, -1.66691;true;Poteau
2733;2733;Côteaux;35206;Noyal-Châtillon-sur-Seiche;48.034197, -1.663402;true;Poteau
2735;2735;Horizon;35206;Noyal-Châtillon-sur-Seiche;48.041711, -1.663662;false;Abri simple
2747;2747;Lotissement du Moulin;35206;Noyal-Châtillon-sur-Seiche;48.041997, -1.656419;false;Abri simple
2722;2722;Potiers;35206;Noyal-Châtillon-sur-Seiche;48.040814, -1.672158;true;Abri simple
2718;2718;Croix Fleurie;35206;Noyal-Châtillon-sur-Seiche;48.055987, -1.664262;false;Poteau
3239;3239;Blés d'Or;35208;Orgères;47.99191, -1.67231;false;Poteau
3228;3228;Abords Plessette;35208;Orgères;47.986121, -1.673184;false;Poteau
3217;3217;Levant;35208;Orgères;48.000471, -1.667155;true;Abri simple
3211;3211;Groupe Scolaire;35208;Orgères;47.997273, -1.668431;true;Abri double
3103;3103;Docteur Léon;35210;Pacé;48.149232, -1.788989;false;Abri simple
3104;3104;Touche Milon;35210;Pacé;48.148463, -1.784791;true;Abri simple
3105;3105;Pinault;35210;Pacé;48.14765, -1.780916;true;Poteau
3177;3177;La Foucheraie;35210;Pacé;48.179654, -1.775143;false;Poteau
3172;3172;Baiersdorf;35210;Pacé;48.151086, -1.75956;true;
3167;3167;Champalaune;35210;Pacé;48.154567, -1.763809;true;
3169;3169;Beausoleil;35210;Pacé;48.152618, -1.763563;false;
3148;3148;Bas Sommier;35210;Pacé;48.130634, -1.794838;false;Poteau
3153;3153;Pré Hervy;35210;Pacé;48.135538, -1.789301;false;Poteau
3141;3141;Pont Amelin;35210;Pacé;48.154821, -1.784386;true;Poteau
3126;3126;Ouessant;35210;Pacé;48.15725, -1.765795;true;Abri simple
3121;3121;Docteur Léon;35210;Pacé;48.149381, -1.789012;false;Poteau
3124;3124;Chapitre;35210;Pacé;48.175366, -1.789981;false;Poteau
3109;3109;Pacé Cimetière;35210;Pacé;48.148142, -1.769909;true;Abri simple
3110;3110;Carré Dumaine;35210;Pacé;48.145758, -1.770753;true;Abri simple
3112;3112;Opéra;35210;Pacé;48.141059, -1.767294;true;Poteau
3602;3602;Parthenay Mairie;35216;Parthenay-de-Bretagne;48.192003, -1.831209;true;Abri double
3617;3617;Parthenay Fontaine;35216;Parthenay-de-Bretagne;48.193762, -1.832214;true;Abri simple
3613;3613;La Noë;35216;Parthenay-de-Bretagne;48.191297, -1.8243;true;Poteau
4802;4802;Sévignière;35022;Bécherel;48.29968, -1.93946;false;Poteau
1001;1001;Longs Champs;35238;Rennes;48.129077, -1.63253;true;Abri double
1005;1005;Mirabeau;35238;Rennes;48.123081, -1.647064;true;Abri double
9112;9112;Pont de Nantes;35238;Rennes;48.10181, -1.684105;false;
9012;9012;Roazhon Park;35238;Rennes;48.107747, -1.714576;false;
1666;1666;Atalante Champeaux;35238;Rennes;48.113351, -1.71357;false;
1659;1659;Henri Fréville;35238;Rennes;48.086765, -1.675461;false;
1651;1651;Jacques Cartier;35238;Rennes;48.097202, -1.675197;false;Poteau provisoire
1646;1646;Italie;35238;Rennes;48.086632, -1.668834;true;Poteau
1633;1633;Haut Sancé;35238;Rennes;48.096655, -1.636527;true;Poteau
1622;1622;Alma;35238;Rennes;48.084157, -1.679166;true;Abri double
1615;1615;République;35238;Rennes;48.109803, -1.678283;true;Poteau
1596;1596;Clotilde Vautier;35238;Rennes;48.125861, -1.668462;false;Poteau
1603;1603;Les Préales;35238;Rennes;48.11325, -1.641287;true;Abri double
1588;1588;Jules Maniez;35238;Rennes;48.098019, -1.703694;true;Abri simple
1589;1589;Jules Maniez;35238;Rennes;48.097935, -1.703985;true;Abri simple
1591;1591;Jules Verne;35238;Rennes;48.09891, -1.69368;true;Abri simple
1027;1027;Hôtel Dieu;35238;Rennes;48.117163, -1.677351;true;Abri simple
1021;1021;Cité Judiciaire;35238;Rennes;48.105444, -1.684005;true;Abri simple
1014;1014;Sainte-Anne;35238;Rennes;48.113739, -1.679038;true;Poteau
1016;1016;République;35238;Rennes;48.110073, -1.680101;true;Abri simple
1009;1009;Metz Volney;35238;Rennes;48.121635, -1.663186;true;Abri simple
2404;2404;Trégor;35024;Betton;48.183007, -1.646075;false;Abri simple
2405;2405;Betton Mairie;35024;Betton;48.181894, -1.641783;true;Abri simple
2458;2458;Gentilhommière;35024;Betton;48.190991, -1.628981;true;Poteau
